,시설_구분,시설_이름,시설_위치,위도,경도
178,복지센터,THE CLASSIC 500,"37.5381297256139, 127.070830130511",37.5381297256139,127.070830130511
179,복지센터,백세만세데이케어센터,"37.544296611668, 127.091195076797",37.544296611668,127.091195076797
180,복지센터,평강마을 데이케어센터,"37.5315743763323, 127.076091601422",37.5315743763323,127.076091601422
181,복지센터,광진시니어클럽,"37.5362527958943, 127.075431066211",37.5362527958943,127.075431066211
182,복지센터,군자 연세데이케어센터,"37.5526134377937, 127.072066061094",37.5526134377937,127.072066061094
183,복지센터,행복 방문요양 복지센터,"37.551752367316, 127.092362998043",37.551752367316,127.092362998043
184,복지센터,더사랑데이케어센터,"37.5388399610046, 127.091450934727",37.5388399610046,127.091450934727
185,복지센터,더조은 방문요양센터,"37.53656475635977, 127.09621268274545",37.53656475635977,127.09621268274545
186,복지센터,온누리 방문요양센터,"37.5597601644223, 127.077722882307",37.5597601644223,127.077722882307
187,복지센터,자양방문요양센터,"37.5378144781645, 127.079180057254",37.5378144781645,127.079180057254
188,복지센터,굿케어재가복지센터,"37.53422505264438, 127.09143172227314",37.53422505264438,127.09143172227314
189,복지센터,우리부모 방문요양센터,"37.5474999949979, 127.102852329909",37.5474999949979,127.102852329909
